,year,fuel,seller_type_Individual,seller_type_Trustmark Dealer,transmission,owner,engine,max_power
5385,0.8043478260869565,0,1,0,1,4,-0.41967976245931643,-0.24741716608046818
3929,0.9710144927536232,1,1,0,1,1,-0.5292941936621951,-0.08249256224098481
778,0.9202898550724637,0,1,0,0,3,2.9783676048299226,1.8148451879123852
7794,0.9347826086956522,0,0,0,1,2,-0.41967976245931643,-0.08813101023549713
3555,0.8478260869565217,1,1,0,1,3,-0.41967976245931643,-0.24741716608046818
5616,0.9492753623188406,0,0,0,0,1,1.077055470874536,2.4068822273361707
4361,0.9130434782608695,1,1,0,1,2,0.07657466244098882,0.6956132610017047
52,0.9347826086956522,0,0,0,1,1,0.07856765209922298,0.19661061348737102
5595,0.8985507246376812,0,1,0,1,2,-0.41967976245931643,-0.4997377138348908
738,0.9492753623188406,1,1,0,1,1,-0.9159341873596217,-0.6942641696455634
249,0.9420289855072463,0,1,0,1,1,-0.41967976245931643,-0.08813101023549713
4927,0.8985507246376812,1,1,0,1,3,-1.3205110879811557,-1.2778435370775807
182,0.927536231884058,1,1,0,1,1,-0.5213222350292585,-0.1642500581614125
7026,0.9492753623188406,1,1,0,1,2,-0.5173362557127902,-0.21499609011202264
18,0.8405797101449275,1,1,0,1,2,-1.3205110879811557,-1.2778435370775807
6126,0.9420289855072463,1,1,0,1,2,-0.5173362557127902,-0.4969184898376348
4250,0.9637681159420289,1,0,1,0,1,-0.5173362557127902,-0.08080102784263107
7247,0.9202898550724637,0,1,0,1,1,2.0715573103333806,0.377040949311763
2237,0.8623188405797102,0,1,0,1,3,-0.10678038611655369,-0.6096874497278797
5378,0.8985507246376812,0,1,0,1,2,-0.41967976245931643,-0.4997377138348908
3777,0.8768115942028986,1,1,0,1,1,-0.14066121030653436,-0.6660719296730021
3421,0.9492753623188406,0,0,0,1,1,-0.5432451212698343,-0.4977642570368117
6203,0.9492753623188406,0,1,0,0,1,0.07856765209922298,0.47853301321298325
3021,0.8913043478260869,1,1,0,1,2,-0.792368828549104,-0.778840889563247
5787,0.8913043478260869,0,1,0,1,2,1.0611115536086626,1.5864880441346396
3938,0.9492753623188406,0,1,0,1,1,0.9913569155704672,2.2095365475282422
6771,0.8768115942028986,1,1,0,1,2,-0.792368828549104,-0.778840889563247
3609,0.9057971014492754,0,1,0,1,2,0.24597878339089221,0.978099505526768
325,0.9130434782608695,1,1,0,0,1,-0.5213222350292585,-0.1642500581614125
3356,0.9565217391304348,1,0,0,1,1,-0.9159341873596217,-0.4687262498650736
6927,0.9057971014492754,1,1,0,0,3,-0.5213222350292585,-0.3587765139720847
6614,0.8913043478260869,0,1,0,1,2,-0.1247172930406611,-1.0748594092751398
4440,0.8768115942028986,1,1,0,1,1,-0.5292941936621951,-0.7421909775989175
1570,0.9637681159420289,1,0,1,1,1,0.07856765209922298,0.3643544413241104
3076,0.9565217391304348,1,1,0,1,1,-0.5213222350292585,-0.2770190180516574
8097,0.9565217391304348,0,1,0,1,1,0.07856765209922298,0.20675981987749306
7905,0.927536231884058,0,1,0,1,4,-0.41967976245931643,-0.4969184898376348
8000,0.9347826086956522,1,1,0,1,2,-0.9179271770178559,-0.6931364800466607
2369,0.9420289855072463,0,0,0,1,1,0.07856765209922298,-0.050353408672265
3815,0.927536231884058,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
6595,0.9637681159420289,1,1,0,1,1,-0.74254408709325,-0.6660719296730021
4365,0.8985507246376812,0,1,0,1,1,-0.41967976245931643,-0.4997377138348908
6464,0.9492753623188406,0,1,0,1,1,-0.1247172930406611,-0.08164679504180794
2901,0.9130434782608695,0,1,0,1,1,0.2778666179226387,0.3375718133501771
4961,0.9202898550724637,0,1,0,1,1,-0.41967976245931643,-0.4969184898376348
2893,0.9565217391304348,1,1,0,1,1,-0.5173362557127902,-0.21499609011202264
6582,0.9202898550724637,0,0,1,1,2,2.063585351700444,0.2529950934324935
2133,0.9202898550724637,0,1,0,1,1,-0.5173362557127902,-0.4997377138348908
8102,0.9057971014492754,0,1,0,1,2,0.24597878339089221,0.978099505526768
2713,0.9420289855072463,0,1,0,0,1,1.0730694915580676,1.3637693483514057
5745,0.9057971014492754,1,1,0,1,2,-0.5173362557127902,-0.3446803939858041
5447,0.8840579710144928,1,1,0,1,1,-0.41967976245931643,-0.24741716608046818
4083,0.9202898550724637,0,0,0,0,1,3.058087191159289,4.211185585580089
1001,0.927536231884058,0,1,0,1,1,2.121382051789235,-0.8324061455111134
4584,0.9565217391304348,0,1,0,1,1,-0.41967976245931643,-0.08813101023549713
7516,0.9565217391304348,0,1,0,0,1,1.0172657811275112,4.042032145744721
2438,0.9057971014492754,1,1,0,1,1,-0.5213222350292585,-0.3587765139720847
4071,0.9057971014492754,0,1,0,1,2,-0.41967976245931643,-0.4997377138348908
5593,0.9202898550724637,0,1,0,1,2,-0.41967976245931643,-0.5025569378321472
6812,0.9420289855072463,0,1,0,1,1,-0.1247172930406611,-0.08249256224098481
2173,0.9492753623188406,1,1,0,1,1,-0.5173362557127902,-0.21499609011202264
4395,0.9637681159420289,0,1,0,0,1,3.070045129108694,2.338375084202847
6155,0.8985507246376812,1,1,0,1,3,-0.9179271770178559,-0.6914449456483074
6526,0.9130434782608695,0,1,0,1,1,2.063585351700444,0.29246422939407934
3075,0.927536231884058,1,1,0,1,1,-1.2846372741329408,-1.0269326013217857
5730,0.8985507246376812,1,1,0,1,2,-1.3205110879811557,-1.2778435370775807
5165,0.8768115942028986,0,1,0,1,3,2.984346573804625,-0.8070331295358083
440,0.9057971014492754,0,1,0,1,2,0.004827034744559138,-0.7760216655659911
4391,0.9130434782608695,0,0,0,0,1,1.0152727914692772,2.3504977473910484
6451,0.9347826086956522,0,1,0,1,1,-0.1247172930406611,-0.08164679504180794
4571,0.9130434782608695,0,1,0,1,3,-0.41967976245931643,-0.24741716608046818
3400,0.9420289855072463,1,1,0,1,1,-0.5173362557127902,-0.2601036740681204
5566,0.9565217391304348,1,1,0,1,2,-0.5213222350292585,-0.2753274836533037
4921,0.9565217391304348,0,1,0,1,1,0.06860270380805218,-0.6096874497278797
8034,0.9347826086956522,0,1,0,1,1,0.004827034744559138,0.4743041772170993
2659,0.927536231884058,0,0,0,1,1,-0.11873832406595863,-0.6942641696455634
5260,0.9637681159420289,1,0,0,0,1,-0.9179271770178559,0.7534073529454551
1568,0.9420289855072463,1,0,1,1,1,-0.5213222350292585,-0.2770190180516574
2356,0.9057971014492754,0,1,0,1,1,-0.41967976245931643,-0.24741716608046818
1253,0.8913043478260869,0,1,0,1,3,-0.41967976245931643,-0.4997377138348908
1900,0.8623188405797102,0,1,0,1,2,2.063585351700444,0.2529950934324935
7342,0.9347826086956522,0,0,0,1,1,0.24597878339089221,0.9747164367300609
5635,0.8840579710144928,1,1,0,1,3,0.25395074202382883,0.3680194325205436
1606,0.9130434782608695,0,1,0,1,3,1.4357936093566843,0.7999245489001813
1332,0.927536231884058,0,1,0,1,1,-0.6747824387132886,-0.6096874497278797
5782,0.9565217391304348,0,1,0,1,1,0.07856765209922298,0.20675981987749306
491,0.927536231884058,1,1,0,1,1,-1.3205110879811557,-1.2496512971050195
5425,0.8985507246376812,0,1,0,1,1,-0.41967976245931643,-0.4687262498650736
